Neighborhood,Borough,Latitude,Longitude
Paseo de los Libertadores,01 Usaquén,4.72735004832921,-74.06482994503435
Verbenal,01 Usaquén,4.691510000000051,-74.14860999999996
La Uribe,01 Usaquén,4.666400000000067,-74.01896999999997
San Cristóbal Norte,01 Usaquén,4.635990000000049,-74.06147999999996
Toberín,01 Usaquén,4.667769970569705,-74.05776005107043
Los Cedros,01 Usaquén,4.638480000000072,-74.06020999999998
Usaquén,01 Usaquén,4.624680000000069,-74.06762999999995
Country Club,01 Usaquén,4.614350000000059,-74.06572999999997
Santa Bárbara,01 Usaquén,4.607210000000066,-74.06943999999999
El Refugio,02 Chapinero,4.645110000000045,-74.09970999999996
San Isidro-Patios,02 Chapinero,4.6478100000000495,-74.20825999999994
Pardo Rubio,02 Chapinero,4.607870000000048,-74.08697999999998
Chicó Lago,02 Chapinero,4.633340000000032,-74.10627999999997
Chapinero,02 Chapinero,4.649880000000053,-74.06471999999997
Sagrado Corazón,03 Santa Fe,4.58340000000004,-74.09960999999998
La Macarena,03 Santa Fe,4.585140000000024,-74.10099999999994
Las Nieves,03 Santa Fe,4.603930000000048,-74.11536999999998
Las Cruces,03 Santa Fe,4.5484200000000214,-74.14954999999998
Lourdes,03 Santa Fe,4.6379400000000714,-74.12309999999997
San Blas,04 San Cristóbal,4.561820000000068,-74.12733999999995
Sociego,04 San Cristóbal,4.600260000000048,-74.18017999999995
20 de Julio,04 San Cristóbal,4.633200000000045,-74.09437999999994
La Gloria,04 San Cristóbal,4.686370000000068,-74.15099999999995
Los Libertadores,04 San Cristóbal,4.697030000000041,-74.15201999999994
La Flora,05 Usme,4.6725000000000705,-74.15960999999999
Danubio,05 Usme,4.686140000000023,-74.13188999999994
Gran Yomasa,05 Usme,4.697930000000042,-74.14113999999995
Comuneros,05 Usme,4.68434000000002,-74.08418999999998
Alfonso López,05 Usme,4.702820000000031,-74.09521999999998
Parque Entrenubes,05 Usme,4.683330000000069,-74.09999999999997
Ciudad Usme,05 Usme,4.674240000000054,-74.11975999999999
Venecia,06 Tunjuelito,4.615420000000029,-74.15391999999997
